hedge,sentence,gemini_label,softness_harshness,formality,degree,softens_harshness
very," You say that you know exactly what you did wrong and that you know how to avoid it going forwards, but then you don't give any details and also completely ignore the very specific instructions given for you to follow for your unblock request.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
very, This is my first time trying to contribute articles to Wiki so everything was still very confusing on my side.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
really," but I hope with more clarification from my side, it could be unblock so I can really prove I'm really learning about this [[User:Agneseffendy|Agneseffendy]] ([[User talk:Agneseffendy#top|talk]]) 17:55, 24 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
very,{{unblock reviewed|decline={{tq|my article seem to be very promotional but I promise that it wasn't the case.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,"  [[User:Beeblebrox|Beeblebrox]] [[User talk:Beeblebrox|<sup>Beebletalks</sup>]] 21:48, 24 January 2025 (UTC)|1=what I did was totally wrong and my article seem to be very promotional but I promise that it wasn't the case.","{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
a bit,'' is a bit of a giveaway!,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 3, ""degree"": 4}",8.0,3.0,4.0,8.0
very," To be very honest as this is my first time trying to contribute, I thought as it is still under draft ther would be chances for me to reedit again after I got the warning.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 2}",7.0,5.0,2.0,7.0
really, ok ok im sorry but you know it was really just that.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 2}",6.0,4.0,2.0,6.0
very,"-- Template:uw-vandalism4 --> <b>[[User:Yoshi24517|<span style=""color:#00c700;font-family:'Rockwell'"">Yoshi24517</span>]] ([[User talk:Yoshi24517|<span style=""color:black;font-family:'Rockwell'"">Chat</span>]]) (<span style=""color:red;font-family:'Rockwell'"">Very Busy</span>)</b> 01:01, 26 January 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
rather,"{{divbox|blue|3=Although this article is currently rather long, it shouldn't be.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 7, ""degree"": 4}",7.0,7.0,4.0,7.0
very, That article is currently very brief and has plenty of room for expansion.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,":@[[User:Ekdalian|Ekdalian]] Okay, I understood your point very well.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
really,":thank  you, I'm really trying hard to make this work and would be glad for your help.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
very,"At this level, very few journalists would have an article due to the notability hurdles under [[WP:BASIC]].","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
a little,{{divbox|blue|3=The article is a little messy and that complicates its notability against [[WP:BIO]].,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
pretty, The Wikimedia Commons is pretty strict about copyright.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 5}",7.0,3.0,5.0,7.0
slightly, Our photo of the tumor was current in 2012 was slightly smaller in size.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
extremely,:::Cases of giant pleomorpic adenoma is extremely rare.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very, They are even very rare to be surgically removed because of the complexity of the surgery and there are only a handful of surgeons even willing to do the surgery.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
very,:::It is also very rare to have a surgery like this without any complications and that is why there are only a handful of surgeons even willing to tackle this.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
a bit," I've removed the promotional text from the image captions, re-worded them a bit, and put the images in a more useful place on the page.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
mostly,{{divbox|blue|3=Mostly unsourced}} Please check the submission for any additional comments left by the reviewer.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 5, ""degree"": 5}",7.0,5.0,5.0,7.0
a bit,":::::::I'm a bit concerned that you said ""a friend set up this account"".","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
pretty," My approach until now was to say, oh well, it’s pretty evident that the information there has never really been updated, so hopefully no one sees it and uses it as an educational resource.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 3, ""degree"": 4}",7.0,3.0,4.0,7.0
really," My approach until now was to say, oh well, it’s pretty evident that the information there has never really been updated, so hopefully no one sees it and uses it as an educational resource.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 3}",8.0,4.0,3.0,8.0
mostly," The alternative is that the page continues to contain mostly inaccurate and unhelpful information, which I feel is the opposite of Wikipedia’s goals.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
relatively, Given its a relatively small event comparatively to Henley Royal Regatta what sort of things would you advise looking into that would make you feel this has adequate sources?,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 7, ""degree"": 4}",7.0,7.0,4.0,7.0
very, Newcomers are very welcome!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
very,Newcomers are very welcome!,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
partially,We will be partially coordinating with the international [[meta:Wiki Loves Fashion|Wiki Loves Fashion]] campaign.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
very,"Thank you very much for participating in the [[Wikipedia:WikiProject AfroCine/Months of African Cinema|Months of African Cinema]] global contest/edit-a-thon, and thank you for your contributions so far.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very,"We are very excited about what has been achieved so far, but your contributions are still needed to further exceed all expectations!","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very,This was a very lovely workshop!,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
partially,We will be partially coordinating with Art+Feminism and all of the [[meta:Gender gap/International Women's Day|International Women's Day and Women's History Month]] campaigns.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
really,It is already past the middle of the contest and we are really excited about the [[Wikipedia:WikiProject AfroCine/Months of African Cinema|Months of African Contest 2021]] achievements so far!,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
very,We are very excited to share with you the wireframes for the desktop version of the '''On-Wiki Registration Tool'''.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
really," We invite everyone to attend, and we really hope to see you!","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
very,* [[outreach:GLAM/Newsletter/July 2022/Contents/Colombia report|Colombia report]]: A very busy July for Colombian libraries / Un Julio bastante movido para las bibliotecas colombianas ,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," and elsewhere, and it is obviously still a very much overlooked topic.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
really," Moreover, there has been some solid scholarship in recent years that I think could really help fine-tune the page ([https://www.google.com/books/edition/Theodore_Gericault_Painting_Black_Bodies/RbjbDwAAQBAJ?hl=en&gbpv=0 book 1], [https://www.google.com/books/edition/Posing_Modernity/z731tAEACAAJ?hl=en book 2] just two give a few examples).","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
somewhat,"This is somewhat of a sequel to last year's [[Wikipedia:Meetup/NYC/Brunch]] in terms of the participants, though this time it is an evening event in a different borough.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
really,"We may leaven the event with a few impromptu [[lightning talk]]s, a Wiki-fashion show (yes, really!","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 2, ""degree"": 0}",5.0,2.0,0.0,5.0
really, It was really nice to meet you yesterday in Berlin and listen to your inspiring talk.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
very,* [[outreach:GLAM/Newsletter/September 2023/Contents/UK report|UK report]]: A new WIR and a very old book,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
very," On behalf of the coordinators,  wishing you the very best for the festive season and the new year.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 1}",5.0,6.0,1.0,5.0
sort of,"<div lang=""en"" dir=""ltr"" class=""mw-content-ltr"">This is our twenty-seventh newsletter, a sort of year-in-review for 2023.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 3}",6.0,3.0,3.0,6.0
largely," While the journey has been marked by some truly inspiring events, most of our efforts have been largely uncoordinated and the user group hasn't been the support it could have been.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 7, ""degree"": 4}",6.0,7.0,4.0,6.0
a bit,We'll also [[New York–Dublin Portal|do a portal thing]] for a bit with West Coast friends at [[Wikipedia:Meetup/LA/Wiknic2024]].,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 4}",6.0,4.0,4.0,6.0
a little," We'll also provide a little something for everyone, but we encourage you to bring your own favorite dishes to share, especially for those [[Wikipedia:WikiProject Food and drink|food cultural topics]] you would like to improve on Wikipedia.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 3}",7.0,4.0,3.0,7.0
a bit,We'll also [[New York–Dublin Portal|do a portal thing]] for a bit with West Coast friends at the [[Wikipedia:Meetup/LA/Manhattan Beach Edit-a-thon|WikiLA ocean life edit-a-thon]].,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
very," On behalf of the coordinators, wishing you the very best for the festive season and the new year.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 1}",5.0,6.0,1.0,5.0
somewhat,"We'll also have [[Wikipedia:Meetup/NYC/Wikipedia Day 2025#Lightning talks|a lightning talks session]] and you're invited to sign up for one, though space is somewhat limited.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 4}",8.0,6.0,4.0,8.0
very," Wikipedia takes copyright very seriously, and persistent violators of our copyright policy '''will be [[Wikipedia:Blocking policy|blocked from editing]]'''.","{""is_modifier"": true, ""softens_harshness"": 2, ""formality"": 5, ""degree"": 5}",2.0,5.0,5.0,2.0
very, Wikipedia takes copyright violations very seriously and persistent violators and/or removers of the copyright notice templates '''will be [[Wikipedia:Blocking policy|blocked from editing]]'''.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
really," I guess the main problem boils down to how prolific really is Rossi to create an article, I've been needing to still go through some other sources and get some FOIA requests to probably make a more extensive page if it's possible but I do own a few books that talk in parts about him that could be of contribution.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 4}",5.0,4.0,4.0,5.0
somewhat, but I was curious on other details of that to hopefully make the article span out somewhat.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
a bit, I've been an incredible procrasinator the last week and had issues doing FOIA requests for a bit so I really need to request that.,"{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 4}",7.0,4.0,4.0,7.0
really, I've been an incredible procrasinator the last week and had issues doing FOIA requests for a bit so I really need to request that.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 4}",4.0,4.0,4.0,4.0
rather," I have things that are discouraging me right now, but I would rather not discuss it.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 7, ""degree"": 0}",8.0,7.0,0.0,8.0
quite, I copied quite a long 'find-and-update.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
quite,::::: Quite an interesting year.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 4}",5.0,6.0,4.0,5.0
very," Please make sure that you [[Wikipedia:Signatures|sign]] your messages on [[Help:Using talk pages|discussion page]]s, which is done by entering four [[tilde]]s (<nowiki>~~~~</nowiki>) at the very end of it; this will automatically insert your username and the date.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 2}",5.0,5.0,2.0,5.0
really, The whole page has major edits and I really need these back ASAP.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 4, ""degree"": 5}",4.0,4.0,5.0,4.0
very, I had unfortunately contacted the client who is now very confused.,"{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
quite,::::::Not quite.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 6, ""degree"": 5}",8.0,6.0,5.0,8.0
quite, She lost her mom when she was quite young and grew up with so much love for her dad whom she also lost in march 2021.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
very,"She grew up very fond of her father who was a Legal Practitioner, whom she talks highly of.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
rather,":My intention is not self-promotion, but rather to contribute to the creation of an objective and well-documented article about my career and achievements.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 8, ""degree"": 0}",6.0,8.0,0.0,6.0
very,":Thank you very much for your help,","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
very,":::all the very best [[Special:Contributions/31.168.146.73|31.168.146.73]] ([[User talk:31.168.146.73|talk]]) 17:07, 3 March 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 4}",6.0,6.0,4.0,6.0
largely,"As is noted at the top of [[List of Jewish heads of state and government]], ""is is a list of former and current heads of state and heads of government of the sovereign countries who were/are of Jewish or have a largely Jewish heritage, '''other than the heads of state and government of Israel'''.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 6, ""degree"": 5}",6.0,6.0,5.0,6.0
really," The ""classification"" really has no meaning otherwise and shouldn't be used to gauge the quality of an article.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 3, ""degree"": 2}",4.0,3.0,2.0,4.0
a bit," I feel a bit discouraged, as it seems that even by following the rules, the effort may not be acknowledged.","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 5}",8.0,4.0,5.0,8.0
really," I’m open to compromise and collaboration, but I would really appreciate your guidance, especially since you initially assessed the article as C-Class.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 4}",7.0,4.0,4.0,7.0
very,::::::Editorial user1998 should also be aware that continuing to use WP to promote himself is very likely to result in an editing block.,"{""is_modifier"": true, ""softens_harshness"": 3, ""formality"": 5, ""degree"": 5}",3.0,5.0,5.0,3.0
fairly," I appreciate the collaborative efforts on improving the article, but I hope these edits can be handled fairly and constructively.","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 0}",5.0,6.0,0.0,5.0
very," Wikipedia has a '''very strict policy''' concerning [[Wikipedia:Biographies of living persons|how we write about living people]], so please help us keep such articles accurate and clear.","{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 5, ""degree"": 5}",4.0,5.0,5.0,4.0
very,* A very big {{Thank you}} to all the editors who labour away quietly and help make this WikiProject what it is; no edit goes unnoticed.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
really, I really appreciate the double check.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
quite,"*[[Draft:Jehovah's Witnesses in France]] (a translation from [[:pl:Świadkowie Jehowy we Francji|the article on plwiki]] where someone [https://en.wikipedia.org/w/index.php?title=Draft%3AJehovah%27s_Witnesses_in_France&diff=1281581316&oldid=1281580982 got quite sloppy with the sources], plwiki got 108 sources listed.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 6, ""degree"": 4}",7.0,6.0,4.0,7.0
very,There are basically no (or very very few) non-primary sources.,"{""is_modifier"": true, ""softens_harshness"": 4, ""formality"": 3, ""degree"": 5}",4.0,3.0,5.0,4.0
a bit,"::She didn't say that, as far as I know (note that it got a bit confusing because the title changed).","{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 4}",8.0,4.0,4.0,8.0
a bit, They need quite a bit of work and I don't really wanna do it on my own.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 5, ""degree"": 5}",5.0,5.0,5.0,5.0
quite a bit, They need quite a bit of work and I don't really wanna do it on my own.,"{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
quite, They need quite a bit of work and I don't really wanna do it on my own.,"{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 6, ""degree"": 5}",5.0,6.0,5.0,5.0
really, They need quite a bit of work and I don't really wanna do it on my own.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 3}",8.0,4.0,3.0,8.0
really, Occasionally I see people who try to write one but don't really fill the template in properly.,"{""is_modifier"": true, ""softens_harshness"": 8, ""formality"": 4, ""degree"": 2}",8.0,4.0,2.0,8.0
very,":I didn't know about the edit request wizard but the reason I think the article wizard, for example, works well is that it combines helping with a technical task (which is not very hard, but still) with step-by-step guidance on the relevant PAGs.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 5, ""degree"": 5}",6.0,5.0,5.0,6.0
pretty,"::Yeah, it's pretty nice, I've used it myself at least once.","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 3, ""degree"": 4}",6.0,3.0,4.0,6.0
a little,"Once voting concludes, we will begin the scrutineering phase, which will last approximately four days, or perhaps a little longer.","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 4, ""degree"": 5}",7.0,4.0,5.0,7.0
reasonably,"* Publicly linking a TA to another TA is allowed if ""reasonably believed to be necessary"".","{""is_modifier"": true, ""softens_harshness"": 7, ""formality"": 8, ""degree"": 4}",7.0,8.0,4.0,7.0
really,"Active support is really needed so thanks in advance and have a great day [[User:Tartaluca|Tartaluca]] ([[User talk:Tartaluca|talk]]) 14:35, 11 November 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 5, ""formality"": 4, ""degree"": 5}",5.0,4.0,5.0,5.0
really,"::I would have liked your opinion even if it was really small :)) [[User:Tartaluca|Tartaluca]] ([[User talk:Tartaluca|talk]]) 15:26, 11 November 2025 (UTC)","{""is_modifier"": true, ""softens_harshness"": 6, ""formality"": 4, ""degree"": 5}",6.0,4.0,5.0,6.0
